dimension,segment,accounts,churned,churn_rate,ci_low,ci_high,lift_vs_overall
engagement_segment,Engaged Accounts,153,42,0.27450980392156865,0.2099733184286048,0.35009198242476935,1.2477718360071302
engagement_segment,Casual Accounts,127,26,0.2047244094488189,0.14371385060012803,0.2830733415024881,0.9305654974946314
engagement_segment,Low-Engagement Accounts,123,21,0.17073170731707318,0.11446678691870424,0.2469407469184509,0.7760532150776054
breadth_quartile,Q1 (lowest),105,16,0.1523809523809524,0.09602664318525664,0.23327304839402932,0.6926406926406927
breadth_quartile,Q2,107,24,0.22429906542056074,0.15561551031500886,0.3120926863495348,1.0195412064570943
breadth_quartile,Q3,149,39,0.26174496644295303,0.19778647103677618,0.33767988378718816,1.1897498474679684
breadth_quartile,Q4 (highest),139,31,0.22302158273381295,0.161800094809959,0.2991407228229911,1.013734466971877
usage_quartile,Q1 (lowest),123,21,0.17073170731707318,0.11446678691870424,0.2469407469184509,0.7760532150776054
usage_quartile,Q2,127,26,0.2047244094488189,0.14371385060012803,0.2830733415024881,0.9305654974946314
usage_quartile,Q3,125,36,0.288,0.21587483942917213,0.3727668875031583,1.309090909090909
usage_quartile,Q4 (highest),125,27,0.216,0.15290810140879452,0.29602704221753495,0.9818181818181818
ticket_bucket,0,8,2,0.25,0.071479212752109,0.5907245696898311,1.1363636363636365
ticket_bucket,1-2,104,26,0.25,0.17669640355383198,0.341114273632394,1.1363636363636365
ticket_bucket,3-4,195,44,0.22564102564102564,0.17260032384060836,0.2892825217459976,1.0256410256410255
ticket_bucket,5-6,142,24,0.16901408450704225,0.11628787581394032,0.23917660760452983,0.7682458386683738
ticket_bucket,7+,51,14,0.27450980392156865,0.17114275234644882,0.4094665076077909,1.2477718360071302
any_escalation,False,409,87,0.21271393643031786,0.17582183504256801,0.25495238838137957,0.9668815292287175
any_escalation,True,91,23,0.25274725274725274,0.1747271725435677,0.3507967854432411,1.1488511488511488
high_friction,False,313,75,0.23961661341853036,0.19566722387996763,0.28987989925632496,1.0891664246296835
high_friction,True,187,35,0.18716577540106952,0.13776739286374406,0.2491582745305309,0.8507535245503159
is_trial,False,403,85,0.2109181141439206,0.17391199878787722,0.25338333960906495,0.9587187006541845
is_trial,True,97,25,0.25773195876288657,0.1810959160754222,0.35282593958148023,1.1715089034676662
has_trial_subscription,False,97,17,0.17525773195876287,0.11240054445759612,0.2628564109974008,0.796626054358013
has_trial_subscription,True,403,93,0.23076923076923078,0.19229203619229507,0.2743306609413378,1.048951048951049
any_upgrade,False,193,46,0.23834196891191708,0.18370873433075138,0.3031879763261106,1.0833725859632595
any_upgrade,True,307,64,0.20846905537459284,0.1667705150026924,0.2573732247702752,0.9475866153390584
any_downgrade,False,323,73,0.2260061919504644,0.18376949464009365,0.27468354054507066,1.0273008725021109
any_downgrade,True,177,37,0.20903954802259886,0.15563478852051657,0.27480555037253895,0.9501797637390857
