funnel,dimension,segment,stage,accounts,conversion_from_signup,step_conversion,step_drop_off
trial,referral_source,other,4. Retained (not churned),61,0.5922330097087378,0.7530864197530864,0.24691358024691357
trial,referral_source,partner,1. Signed up,89,1.0,,
trial,referral_source,partner,2. Started a trial,74,0.8314606741573034,0.8314606741573034,0.1685393258426966
trial,referral_source,partner,3. Converted to paid after trial,68,0.7640449438202247,0.918918918918919,0.08108108108108103
trial,referral_source,partner,4. Retained (not churned),57,0.6404494382022472,0.8382352941176471,0.16176470588235292
trial,industry,Cybersecurity,1. Signed up,100,1.0,,
trial,industry,Cybersecurity,2. Started a trial,76,0.76,0.76,0.24
trial,industry,Cybersecurity,3. Converted to paid after trial,71,0.71,0.9342105263157895,0.06578947368421051
trial,industry,Cybersecurity,4. Retained (not churned),58,0.58,0.8169014084507042,0.18309859154929575
trial,industry,DevTools,1. Signed up,113,1.0,,
trial,industry,DevTools,2. Started a trial,95,0.8407079646017699,0.8407079646017699,0.15929203539823011
trial,industry,DevTools,3. Converted to paid after trial,90,0.7964601769911505,0.9473684210526315,0.052631578947368474
trial,industry,DevTools,4. Retained (not churned),61,0.5398230088495575,0.6777777777777778,0.3222222222222222
trial,industry,EdTech,1. Signed up,79,1.0,,
trial,industry,EdTech,2. Started a trial,67,0.8481012658227848,0.8481012658227848,0.15189873417721522
trial,industry,EdTech,3. Converted to paid after trial,63,0.7974683544303798,0.9402985074626866,0.05970149253731338
trial,industry,EdTech,4. Retained (not churned),52,0.6582278481012658,0.8253968253968254,0.17460317460317465
trial,industry,FinTech,1. Signed up,112,1.0,,
trial,industry,FinTech,2. Started a trial,88,0.7857142857142857,0.7857142857142857,0.2142857142857143
trial,industry,FinTech,3. Converted to paid after trial,82,0.7321428571428571,0.9318181818181818,0.06818181818181823
trial,industry,FinTech,4. Retained (not churned),64,0.5714285714285714,0.7804878048780488,0.2195121951219512
trial,industry,HealthTech,1. Signed up,96,1.0,,
trial,industry,HealthTech,2. Started a trial,77,0.8020833333333334,0.8020833333333334,0.19791666666666663
trial,industry,HealthTech,3. Converted to paid after trial,74,0.7708333333333334,0.961038961038961,0.038961038961038974
trial,industry,HealthTech,4. Retained (not churned),56,0.5833333333333334,0.7567567567567568,0.2432432432432432
trial,signup_quarter,2023Q1,1. Signed up,55,1.0,,
trial,signup_quarter,2023Q1,2. Started a trial,42,0.7636363636363637,0.7636363636363637,0.23636363636363633
trial,signup_quarter,2023Q1,3. Converted to paid after trial,41,0.7454545454545455,0.9761904761904762,0.023809523809523836
trial,signup_quarter,2023Q1,4. Retained (not churned),26,0.4727272727272727,0.6341463414634146,0.36585365853658536
trial,signup_quarter,2023Q2,1. Signed up,54,1.0,,
trial,signup_quarter,2023Q2,2. Started a trial,46,0.8518518518518519,0.8518518518518519,0.14814814814814814
trial,signup_quarter,2023Q2,3. Converted to paid after trial,43,0.7962962962962963,0.9347826086956522,0.06521739130434778
trial,signup_quarter,2023Q2,4. Retained (not churned),34,0.6296296296296297,0.7906976744186046,0.2093023255813954
trial,signup_quarter,2023Q3,1. Signed up,53,1.0,,
trial,signup_quarter,2023Q3,2. Started a trial,43,0.8113207547169812,0.8113207547169812,0.18867924528301883
trial,signup_quarter,2023Q3,3. Converted to paid after trial,41,0.7735849056603774,0.9534883720930233,0.046511627906976716
trial,signup_quarter,2023Q3,4. Retained (not churned),34,0.6415094339622641,0.8292682926829268,0.1707317073170732
trial,signup_quarter,2023Q4,1. Signed up,65,1.0,,
trial,signup_quarter,2023Q4,2. Started a trial,53,0.8153846153846154,0.8153846153846154,0.18461538461538463
trial,signup_quarter,2023Q4,3. Converted to paid after trial,48,0.7384615384615385,0.9056603773584906,0.09433962264150941
trial,signup_quarter,2023Q4,4. Retained (not churned),34,0.5230769230769231,0.7083333333333334,0.29166666666666663
trial,signup_quarter,2024Q1,1. Signed up,56,1.0,,
trial,signup_quarter,2024Q1,2. Started a trial,52,0.9285714285714286,0.9285714285714286,0.0714285714285714
trial,signup_quarter,2024Q1,3. Converted to paid after trial,49,0.875,0.9423076923076923,0.05769230769230771
trial,signup_quarter,2024Q1,4. Retained (not churned),38,0.6785714285714286,0.7755102040816326,0.22448979591836737
trial,signup_quarter,2024Q2,1. Signed up,65,1.0,,
trial,signup_quarter,2024Q2,2. Started a trial,51,0.7846153846153846,0.7846153846153846,0.2153846153846154
trial,signup_quarter,2024Q2,3. Converted to paid after trial,48,0.7384615384615385,0.9411764705882353,0.05882352941176472
trial,signup_quarter,2024Q2,4. Retained (not churned),37,0.5692307692307692,0.7708333333333334,0.22916666666666663
trial,signup_quarter,2024Q3,1. Signed up,72,1.0,,
trial,signup_quarter,2024Q3,2. Started a trial,56,0.7777777777777778,0.7777777777777778,0.2222222222222222
trial,signup_quarter,2024Q3,3. Converted to paid after trial,55,0.7638888888888888,0.9821428571428571,0.017857142857142905
trial,signup_quarter,2024Q3,4. Retained (not churned),41,0.5694444444444444,0.7454545454545455,0.2545454545454545
trial,signup_quarter,2024Q4,1. Signed up,80,1.0,,
trial,signup_quarter,2024Q4,2. Started a trial,60,0.75,0.75,0.25
trial,signup_quarter,2024Q4,3. Converted to paid after trial,55,0.6875,0.9166666666666666,0.08333333333333337
trial,signup_quarter,2024Q4,4. Retained (not churned),47,0.5875,0.8545454545454545,0.1454545454545455
expansion,plan_tier,Basic,1. Signed up,168,1.0,,
expansion,plan_tier,Basic,2. Paying,168,1.0,1.0,0.0
expansion,plan_tier,Basic,3. Upgraded,111,0.6607142857142857,0.6607142857142857,0.3392857142857143
expansion,plan_tier,Basic,4. Retained (not churned),90,0.5357142857142857,0.8108108108108109,0.18918918918918914
expansion,plan_tier,Enterprise,1. Signed up,154,1.0,,
expansion,plan_tier,Enterprise,2. Paying,154,1.0,1.0,0.0
expansion,plan_tier,Enterprise,3. Upgraded,98,0.6363636363636364,0.6363636363636364,0.36363636363636365
expansion,plan_tier,Enterprise,4. Retained (not churned),75,0.487012987012987,0.7653061224489796,0.23469387755102045
expansion,plan_tier,Pro,1. Signed up,178,1.0,,
expansion,plan_tier,Pro,2. Paying,178,1.0,1.0,0.0
expansion,plan_tier,Pro,3. Upgraded,98,0.550561797752809,0.550561797752809,0.449438202247191
expansion,plan_tier,Pro,4. Retained (not churned),78,0.43820224719101125,0.7959183673469388,0.20408163265306123
expansion,referral_source,ads,1. Signed up,98,1.0,,
expansion,referral_source,ads,2. Paying,98,1.0,1.0,0.0
expansion,referral_source,ads,3. Upgraded,64,0.6530612244897959,0.6530612244897959,0.34693877551020413
expansion,referral_source,ads,4. Retained (not churned),51,0.5204081632653061,0.796875,0.203125
expansion,referral_source,event,1. Signed up,96,1.0,,
expansion,referral_source,event,2. Paying,96,1.0,1.0,0.0
expansion,referral_source,event,3. Upgraded,53,0.5520833333333334,0.5520833333333334,0.44791666666666663
expansion,referral_source,event,4. Retained (not churned),35,0.3645833333333333,0.660377358490566,0.339622641509434
expansion,referral_source,organic,1. Signed up,114,1.0,,
expansion,referral_source,organic,2. Paying,114,1.0,1.0,0.0
expansion,referral_source,organic,3. Upgraded,73,0.6403508771929824,0.6403508771929824,0.35964912280701755
expansion,referral_source,organic,4. Retained (not churned),63,0.5526315789473685,0.863013698630137,0.136986301369863
expansion,referral_source,other,1. Signed up,103,1.0,,
expansion,referral_source,other,2. Paying,103,1.0,1.0,0.0
expansion,referral_source,other,3. Upgraded,56,0.5436893203883495,0.5436893203883495,0.4563106796116505
expansion,referral_source,other,4. Retained (not churned),40,0.3883495145631068,0.7142857142857143,0.2857142857142857
expansion,referral_source,partner,1. Signed up,89,1.0,,
expansion,referral_source,partner,2. Paying,89,1.0,1.0,0.0
expansion,referral_source,partner,3. Upgraded,61,0.6853932584269663,0.6853932584269663,0.3146067415730337
expansion,referral_source,partner,4. Retained (not churned),54,0.6067415730337079,0.8852459016393442,0.11475409836065575
expansion,industry,Cybersecurity,1. Signed up,100,1.0,,
expansion,industry,Cybersecurity,2. Paying,100,1.0,1.0,0.0
expansion,industry,Cybersecurity,3. Upgraded,64,0.64,0.64,0.36
expansion,industry,Cybersecurity,4. Retained (not churned),52,0.52,0.8125,0.1875
expansion,industry,DevTools,1. Signed up,113,1.0,,
expansion,industry,DevTools,2. Paying,113,1.0,1.0,0.0
expansion,industry,DevTools,3. Upgraded,69,0.6106194690265486,0.6106194690265486,0.3893805309734514
expansion,industry,DevTools,4. Retained (not churned),48,0.4247787610619469,0.6956521739130435,0.30434782608695654
expansion,industry,EdTech,1. Signed up,79,1.0,,
expansion,industry,EdTech,2. Paying,79,1.0,1.0,0.0
expansion,industry,EdTech,3. Upgraded,45,0.569620253164557,0.569620253164557,0.430379746835443
expansion,industry,EdTech,4. Retained (not churned),39,0.4936708860759494,0.8666666666666667,0.1333333333333333
expansion,industry,FinTech,1. Signed up,112,1.0,,
expansion,industry,FinTech,2. Paying,112,1.0,1.0,0.0
expansion,industry,FinTech,3. Upgraded,64,0.5714285714285714,0.5714285714285714,0.4285714285714286
expansion,industry,FinTech,4. Retained (not churned),54,0.48214285714285715,0.84375,0.15625
expansion,industry,HealthTech,1. Signed up,96,1.0,,
expansion,industry,HealthTech,2. Paying,96,1.0,1.0,0.0
expansion,industry,HealthTech,3. Upgraded,65,0.6770833333333334,0.6770833333333334,0.32291666666666663
expansion,industry,HealthTech,4. Retained (not churned),50,0.5208333333333334,0.7692307692307693,0.23076923076923073
expansion,signup_quarter,2023Q1,1. Signed up,55,1.0,,
expansion,signup_quarter,2023Q1,2. Paying,55,1.0,1.0,0.0
expansion,signup_quarter,2023Q1,3. Upgraded,37,0.6727272727272727,0.6727272727272727,0.32727272727272727
expansion,signup_quarter,2023Q1,4. Retained (not churned),29,0.5272727272727272,0.7837837837837838,0.21621621621621623
expansion,signup_quarter,2023Q2,1. Signed up,54,1.0,,
expansion,signup_quarter,2023Q2,2. Paying,54,1.0,1.0,0.0
expansion,signup_quarter,2023Q2,3. Upgraded,41,0.7592592592592593,0.7592592592592593,0.2407407407407407
expansion,signup_quarter,2023Q2,4. Retained (not churned),31,0.5740740740740741,0.7560975609756098,0.24390243902439024
expansion,signup_quarter,2023Q3,1. Signed up,53,1.0,,
expansion,signup_quarter,2023Q3,2. Paying,53,1.0,1.0,0.0
expansion,signup_quarter,2023Q3,3. Upgraded,35,0.660377358490566,0.660377358490566,0.339622641509434
expansion,signup_quarter,2023Q3,4. Retained (not churned),29,0.5471698113207547,0.8285714285714286,0.17142857142857137
expansion,signup_quarter,2023Q4,1. Signed up,65,1.0,,
expansion,signup_quarter,2023Q4,2. Paying,65,1.0,1.0,0.0
expansion,signup_quarter,2023Q4,3. Upgraded,42,0.6461538461538462,0.6461538461538462,0.3538461538461538
expansion,signup_quarter,2023Q4,4. Retained (not churned),32,0.49230769230769234,0.7619047619047619,0.23809523809523814
expansion,signup_quarter,2024Q1,1. Signed up,56,1.0,,
expansion,signup_quarter,2024Q1,2. Paying,56,1.0,1.0,0.0
expansion,signup_quarter,2024Q1,3. Upgraded,34,0.6071428571428571,0.6071428571428571,0.3928571428571429
expansion,signup_quarter,2024Q1,4. Retained (not churned),27,0.48214285714285715,0.7941176470588235,0.20588235294117652
expansion,signup_quarter,2024Q2,1. Signed up,65,1.0,,
expansion,signup_quarter,2024Q2,2. Paying,65,1.0,1.0,0.0
expansion,signup_quarter,2024Q2,3. Upgraded,35,0.5384615384615384,0.5384615384615384,0.46153846153846156
expansion,signup_quarter,2024Q2,4. Retained (not churned),29,0.4461538461538462,0.8285714285714286,0.17142857142857137
expansion,signup_quarter,2024Q3,1. Signed up,72,1.0,,
expansion,signup_quarter,2024Q3,2. Paying,72,1.0,1.0,0.0
expansion,signup_quarter,2024Q3,3. Upgraded,46,0.6388888888888888,0.6388888888888888,0.36111111111111116
expansion,signup_quarter,2024Q3,4. Retained (not churned),34,0.4722222222222222,0.7391304347826086,0.26086956521739135
expansion,signup_quarter,2024Q4,1. Signed up,80,1.0,,
expansion,signup_quarter,2024Q4,2. Paying,80,1.0,1.0,0.0
expansion,signup_quarter,2024Q4,3. Upgraded,37,0.4625,0.4625,0.5375
expansion,signup_quarter,2024Q4,4. Retained (not churned),32,0.4,0.8648648648648649,0.1351351351351351
