cohort,months_since_start,retention_rate,cohort_size
2024-04-01,8,0.9015544041450777,193
2023-01-01,9,1.0,3
2023-02-01,9,0.8181818181818182,11
2023-03-01,9,1.0,17
2023-04-01,9,0.9354838709677419,31
2023-05-01,9,0.9310344827586207,29
2023-06-01,9,0.9782608695652174,46
2023-07-01,9,0.9152542372881356,59
2023-08-01,9,0.9512195121951219,82
2023-09-01,9,0.8387096774193549,62
2023-10-01,9,0.9166666666666666,84
2023-11-01,9,0.9256198347107438,121
2023-12-01,9,0.9421487603305785,121
2024-01-01,9,0.917910447761194,134
2024-02-01,9,0.875,152
2024-03-01,9,0.946236559139785,186
2023-01-01,10,1.0,3
2023-02-01,10,0.7272727272727273,11
2023-03-01,10,1.0,17
2023-04-01,10,0.9354838709677419,31
2023-05-01,10,0.9310344827586207,29
2023-06-01,10,0.9782608695652174,46
2023-07-01,10,0.8983050847457628,59
2023-08-01,10,0.9390243902439024,82
2023-09-01,10,0.8225806451612904,62
2023-10-01,10,0.9047619047619048,84
2023-11-01,10,0.9173553719008265,121
2023-12-01,10,0.9338842975206612,121
2024-01-01,10,0.9029850746268657,134
2024-02-01,10,0.875,152
2023-01-01,11,1.0,3
2023-02-01,11,0.7272727272727273,11
2023-03-01,11,1.0,17
2023-04-01,11,0.9354838709677419,31
2023-05-01,11,0.9310344827586207,29
2023-06-01,11,0.9565217391304348,46
2023-07-01,11,0.8983050847457628,59
2023-08-01,11,0.926829268292683,82
2023-09-01,11,0.8225806451612904,62
2023-10-01,11,0.9047619047619048,84
2023-11-01,11,0.9008264462809917,121
2023-12-01,11,0.9173553719008265,121
2024-01-01,11,0.9029850746268657,134
2023-01-01,12,1.0,3
2023-02-01,12,0.7272727272727273,11
2023-03-01,12,1.0,17
2023-04-01,12,0.9354838709677419,31
2023-05-01,12,0.9310344827586207,29
2023-06-01,12,0.9565217391304348,46
2023-07-01,12,0.8983050847457628,59
2023-08-01,12,0.926829268292683,82
2023-09-01,12,0.8225806451612904,62
2023-10-01,12,0.9047619047619048,84
2023-11-01,12,0.8842975206611571,121
2023-12-01,12,0.9173553719008265,121
