quarter,feature_name,usage_events,accounts,share_of_quarter_events,qoq_event_change,rank_in_quarter
2023-04-01,feature_37,72,64,0.02306213965406790519,-10.0,31
2023-04-01,feature_18,71,64,0.02274183215887251762,-12.0,35
2023-04-01,feature_39,69,65,0.02210121716848174247,3.0,36
2023-04-01,feature_21,67,62,0.02146060217809096733,-12.0,37
2023-04-01,feature_23,66,63,0.02114029468289557976,-13.0,38
2023-04-01,feature_14,64,60,0.02049967969250480461,-14.0,39
2023-04-01,feature_35,63,62,0.02017937219730941704,-25.0,40
2023-07-01,feature_6,92,83,0.02983138780804150454,8.0,1
2023-07-01,feature_33,90,80,0.02918287937743190661,18.0,2
2023-07-01,feature_21,89,80,0.02885862516212710765,22.0,3
2023-07-01,feature_1,87,80,0.02821011673151750973,7.0,4
2023-07-01,feature_15,86,81,0.02788586251621271077,0.0,5
2023-07-01,feature_26,85,77,0.02756160830090791180,5.0,6
2023-07-01,feature_37,85,78,0.02756160830090791180,13.0,6
2023-07-01,feature_2,85,75,0.02756160830090791180,8.0,6
2023-07-01,feature_17,85,77,0.02756160830090791180,4.0,6
2023-07-01,feature_13,84,74,0.02723735408560311284,3.0,10
2023-07-01,feature_7,83,75,0.02691309987029831388,5.0,11
2023-07-01,feature_12,82,72,0.02658884565499351492,9.0,12
2023-07-01,feature_38,82,79,0.02658884565499351492,7.0,12
2023-07-01,feature_10,81,77,0.02626459143968871595,0.0,14
2023-07-01,feature_9,81,70,0.02626459143968871595,-10.0,14
2023-07-01,feature_29,80,74,0.02594033722438391699,5.0,16
2023-07-01,feature_3,80,77,0.02594033722438391699,7.0,16
2023-07-01,feature_11,80,76,0.02594033722438391699,-16.0,16
2023-07-01,feature_25,78,76,0.02529182879377431907,-6.0,19
2023-07-01,feature_30,78,72,0.02529182879377431907,-11.0,19
2023-07-01,feature_34,77,71,0.02496757457846952010,-7.0,21
2023-07-01,feature_24,77,70,0.02496757457846952010,-1.0,21
2023-07-01,feature_40,76,67,0.02464332036316472114,-3.0,23
2023-07-01,feature_20,76,70,0.02464332036316472114,-9.0,23
2023-07-01,feature_22,76,69,0.02464332036316472114,-5.0,23
2023-07-01,feature_32,74,63,0.02399481193255512322,0.0,26
2023-07-01,feature_23,73,73,0.02367055771725032425,7.0,27
2023-07-01,feature_35,72,68,0.02334630350194552529,9.0,28
2023-07-01,feature_18,70,64,0.02269779507133592737,-1.0,29
2023-07-01,feature_31,70,69,0.02269779507133592737,-10.0,29
2023-07-01,feature_4,70,66,0.02269779507133592737,-7.0,29
2023-07-01,feature_5,70,62,0.02269779507133592737,-2.0,29
2023-07-01,feature_28,69,65,0.02237354085603112840,-10.0,33
2023-07-01,feature_16,69,65,0.02237354085603112840,-9.0,33
2023-07-01,feature_27,67,62,0.02172503242542153048,-15.0,35
2023-07-01,feature_19,66,63,0.02140077821011673152,-6.0,36
2023-07-01,feature_36,66,60,0.02140077821011673152,-25.0,36
2023-07-01,feature_8,65,61,0.02107652399481193256,-17.0,38
2023-07-01,feature_14,64,61,0.02075226977950713359,0.0,39
2023-07-01,feature_39,64,59,0.02075226977950713359,-5.0,39
2023-10-01,feature_14,94,88,0.03049967553536664504,30.0,1
2023-10-01,feature_26,94,84,0.03049967553536664504,9.0,1
2023-10-01,feature_37,89,80,0.02887735236859182349,4.0,3
2023-10-01,feature_4,88,80,0.02855288773523685918,18.0,4
2023-10-01,feature_33,87,79,0.02822842310188189487,-3.0,5
2023-10-01,feature_29,87,75,0.02822842310188189487,7.0,5
2023-10-01,feature_39,86,79,0.02790395846852693056,22.0,7
2023-10-01,feature_30,86,79,0.02790395846852693056,8.0,7
2023-10-01,feature_24,86,79,0.02790395846852693056,9.0,7
2023-10-01,feature_34,83,78,0.02693056456846203764,6.0,10
2023-10-01,feature_1,82,75,0.02660609993510707333,-5.0,11
2023-10-01,feature_2,82,79,0.02660609993510707333,-3.0,11
2023-10-01,feature_17,81,71,0.02628163530175210902,-4.0,13
2023-10-01,feature_22,81,74,0.02628163530175210902,5.0,13
2023-10-01,feature_27,81,71,0.02628163530175210902,14.0,13
2023-10-01,feature_20,80,72,0.02595717066839714471,4.0,16
2023-10-01,feature_15,80,75,0.02595717066839714471,-6.0,16
2023-10-01,feature_5,80,73,0.02595717066839714471,10.0,16
2023-10-01,feature_40,80,73,0.02595717066839714471,4.0,16
2023-10-01,feature_32,80,76,0.02595717066839714471,6.0,16
2023-10-01,feature_10,79,74,0.02563270603504218040,-2.0,21
2023-10-01,feature_12,77,70,0.02498377676833225178,-5.0,22
2023-10-01,feature_18,77,71,0.02498377676833225178,7.0,22
2023-10-01,feature_8,76,72,0.02465931213497728748,11.0,24
2023-10-01,feature_16,75,72,0.02433484750162232317,6.0,25
2023-10-01,feature_31,75,72,0.02433484750162232317,5.0,25
2023-10-01,feature_36,75,68,0.02433484750162232317,9.0,25
2023-10-01,feature_11,74,71,0.02401038286826735886,-6.0,28
2023-10-01,feature_3,73,70,0.02368591823491239455,-7.0,29
2023-10-01,feature_25,71,65,0.02303698896820246593,-7.0,30
2023-10-01,feature_6,70,61,0.02271252433484750162,-22.0,31
2023-10-01,feature_7,69,65,0.02238805970149253731,-14.0,32
2023-10-01,feature_28,69,59,0.02238805970149253731,0.0,32
2023-10-01,feature_38,68,63,0.02206359506813757300,-14.0,34
2023-10-01,feature_13,67,62,0.02173913043478260870,-17.0,35
2023-10-01,feature_19,65,62,0.02109020116807268008,-1.0,36
2023-10-01,feature_9,65,63,0.02109020116807268008,-16.0,36
2023-10-01,feature_35,57,54,0.01849448410123296561,-15.0,38
2023-10-01,feature_23,57,54,0.01849448410123296561,-16.0,38
2023-10-01,feature_21,56,52,0.01817001946787800130,-33.0,40
2024-01-01,feature_32,101,94,0.03211446740858505564,21.0,1
2024-01-01,feature_39,97,85,0.03084260731319554849,11.0,2
2024-01-01,feature_16,97,87,0.03084260731319554849,22.0,2
2024-01-01,feature_31,90,83,0.02861685214626391097,15.0,4
2024-01-01,feature_24,89,82,0.02829888712241653418,3.0,5
2024-01-01,feature_11,88,80,0.02798092209856915739,14.0,6
2024-01-01,feature_2,88,79,0.02798092209856915739,6.0,6
2024-01-01,feature_37,86,82,0.02734499205087440382,-3.0,8
2024-01-01,feature_6,86,79,0.02734499205087440382,16.0,8
2024-01-01,feature_27,85,76,0.02702702702702702703,4.0,10
2024-01-01,feature_3,84,74,0.02670906200317965024,11.0,11
2024-01-01,feature_29,84,77,0.02670906200317965024,-3.0,11
2024-01-01,feature_5,83,78,0.02639109697933227345,3.0,13
2024-01-01,feature_20,81,74,0.02575516693163751987,1.0,14
2024-01-01,feature_36,79,73,0.02511923688394276630,4.0,15
2024-01-01,feature_8,79,71,0.02511923688394276630,3.0,15
2024-01-01,feature_15,79,72,0.02511923688394276630,-1.0,15
2024-01-01,feature_35,78,71,0.02480127186009538951,21.0,18
2024-01-01,feature_34,78,70,0.02480127186009538951,-5.0,18
2024-01-01,feature_17,77,68,0.02448330683624801272,-4.0,20
2024-01-01,feature_12,77,72,0.02448330683624801272,0.0,20
2024-01-01,feature_21,77,71,0.02448330683624801272,21.0,20
2024-01-01,feature_9,77,71,0.02448330683624801272,12.0,20
2024-01-01,feature_30,76,71,0.02416534181240063593,-10.0,24
2024-01-01,feature_7,76,73,0.02416534181240063593,7.0,24
2024-01-01,feature_23,75,71,0.02384737678855325914,18.0,26
2024-01-01,feature_25,75,71,0.02384737678855325914,4.0,26
2024-01-01,feature_10,75,71,0.02384737678855325914,-4.0,26
2024-01-01,feature_33,73,66,0.02321144674085850556,-14.0,29
2024-01-01,feature_28,73,65,0.02321144674085850556,4.0,29
2024-01-01,feature_38,72,70,0.02289348171701112878,4.0,31
2024-01-01,feature_18,72,63,0.02289348171701112878,-5.0,31
2024-01-01,feature_1,71,69,0.02257551669316375199,-11.0,33
2024-01-01,feature_19,70,64,0.02225755166931637520,5.0,34
2024-01-01,feature_26,69,62,0.02193958664546899841,-25.0,35
2024-01-01,feature_13,69,61,0.02193958664546899841,2.0,35
2024-01-01,feature_22,68,60,0.02162162162162162162,-13.0,37
2024-01-01,feature_40,67,58,0.02130365659777424483,-13.0,38
2024-01-01,feature_4,63,59,0.02003179650238473768,-25.0,39
2024-01-01,feature_14,61,58,0.01939586645468998410,-33.0,40
2024-04-01,feature_31,97,89,0.03156524568825252197,7.0,1
2024-04-01,feature_36,96,91,0.03123983078424991865,17.0,2
2024-04-01,feature_28,89,77,0.02896192645623169541,16.0,3
2024-04-01,feature_9,87,80,0.02831109664822648877,10.0,4
2024-04-01,feature_19,87,78,0.02831109664822648877,17.0,4
2024-04-01,feature_39,86,79,0.02798568174422388545,-11.0,6
2024-04-01,feature_3,85,80,0.02766026684022128213,1.0,7
2024-04-01,feature_37,85,78,0.02766026684022128213,-1.0,7
2024-04-01,feature_1,84,78,0.02733485193621867882,13.0,9
2024-04-01,feature_22,84,77,0.02733485193621867882,16.0,9
2024-04-01,feature_24,83,73,0.02700943703221607550,-6.0,11
2024-04-01,feature_38,82,75,0.02668402212821347218,10.0,12
2024-04-01,feature_33,81,76,0.02635860722421086886,8.0,13
2024-04-01,feature_32,81,74,0.02635860722421086886,-20.0,13
2024-04-01,feature_5,79,74,0.02570777741620566222,-4.0,15
2024-04-01,feature_17,79,73,0.02570777741620566222,2.0,15
2024-04-01,feature_40,78,76,0.02538236251220305890,11.0,17
2024-04-01,feature_8,77,72,0.02505694760820045558,-2.0,18
2024-04-01,feature_13,76,69,0.02473153270419785226,7.0,19
2024-04-01,feature_29,76,70,0.02473153270419785226,-8.0,19
2024-04-01,feature_15,75,69,0.02440611780019524894,-4.0,21
2024-04-01,feature_20,75,68,0.02440611780019524894,-6.0,21
2024-04-01,feature_35,75,70,0.02440611780019524894,-3.0,21
2024-04-01,feature_34,74,68,0.02408070289619264562,-4.0,24
2024-04-01,feature_26,74,66,0.02408070289619264562,5.0,24
2024-04-01,feature_30,74,72,0.02408070289619264562,-2.0,24
2024-04-01,feature_7,74,65,0.02408070289619264562,-2.0,24
2024-04-01,feature_11,74,69,0.02408070289619264562,-14.0,24
2024-04-01,feature_2,73,69,0.02375528799219004230,-15.0,29
2024-04-01,feature_18,72,68,0.02342987308818743898,0.0,30
2024-04-01,feature_6,72,68,0.02342987308818743898,-14.0,30
2024-04-01,feature_10,71,68,0.02310445818418483567,-4.0,32
2024-04-01,feature_4,71,69,0.02310445818418483567,8.0,32
2024-04-01,feature_12,69,68,0.02245362837617962903,-8.0,34
2024-04-01,feature_14,69,67,0.02245362837617962903,8.0,34
2024-04-01,feature_27,68,64,0.02212821347217702571,-17.0,36
2024-04-01,feature_21,67,63,0.02180279856817442239,-10.0,37
2024-04-01,feature_16,67,62,0.02180279856817442239,-30.0,37
2024-04-01,feature_25,56,53,0.01822323462414578588,-19.0,39
2024-04-01,feature_23,51,47,0.01659616010413276928,-24.0,40
2024-07-01,feature_32,97,92,0.03081321473951715375,16.0,1
2024-07-01,feature_12,94,87,0.02986022871664548920,25.0,2
2024-07-01,feature_6,94,88,0.02986022871664548920,22.0,2
2024-07-01,feature_25,93,84,0.02954256670902160102,37.0,4
2024-07-01,feature_34,91,83,0.02890724269377382465,17.0,5
2024-07-01,feature_4,88,80,0.02795425667090216010,17.0,6
2024-07-01,feature_36,88,76,0.02795425667090216010,-8.0,6
2024-07-01,feature_27,87,81,0.02763659466327827192,19.0,8
2024-07-01,feature_2,86,79,0.02731893265565438374,13.0,9
2024-07-01,feature_39,86,81,0.02731893265565438374,0.0,9
2024-07-01,feature_40,85,79,0.02700127064803049555,7.0,11
2024-07-01,feature_23,85,74,0.02700127064803049555,34.0,11
2024-07-01,feature_38,84,73,0.02668360864040660737,2.0,13
2024-07-01,feature_31,83,76,0.02636594663278271919,-14.0,14
2024-07-01,feature_26,82,75,0.02604828462515883100,8.0,15
2024-07-01,feature_33,82,73,0.02604828462515883100,1.0,15
2024-07-01,feature_7,82,76,0.02604828462515883100,8.0,15
2024-07-01,feature_14,81,77,0.02573062261753494282,12.0,18
2024-07-01,feature_20,81,76,0.02573062261753494282,6.0,18
2024-07-01,feature_24,81,78,0.02573062261753494282,-2.0,18
2024-07-01,feature_11,80,71,0.02541296060991105464,6.0,21
2024-07-01,feature_28,77,70,0.02445997458703939009,-12.0,22
2024-07-01,feature_22,77,68,0.02445997458703939009,-7.0,22
2024-07-01,feature_30,76,73,0.02414231257941550191,2.0,24
2024-07-01,feature_35,75,68,0.02382465057179161372,0.0,25
2024-07-01,feature_13,75,68,0.02382465057179161372,-1.0,25
2024-07-01,feature_16,74,70,0.02350698856416772554,7.0,27
2024-07-01,feature_29,74,70,0.02350698856416772554,-2.0,27
2024-07-01,feature_10,74,71,0.02350698856416772554,3.0,27
2024-07-01,feature_15,73,65,0.02318932655654383736,-2.0,30
2024-07-01,feature_17,72,68,0.02287166454891994917,-7.0,31
2024-07-01,feature_21,72,70,0.02287166454891994917,5.0,31
2024-07-01,feature_18,71,66,0.02255400254129606099,-1.0,33
2024-07-01,feature_37,69,64,0.02191867852604828463,-16.0,34
2024-07-01,feature_1,68,64,0.02160101651842439644,-16.0,35
2024-07-01,feature_19,66,62,0.02096569250317662008,-21.0,36
2024-07-01,feature_3,65,61,0.02064803049555273189,-20.0,37
2024-07-01,feature_8,64,58,0.02033036848792884371,-13.0,38
2024-07-01,feature_9,59,57,0.01874205844980940280,-28.0,39
2024-07-01,feature_5,57,57,0.01810673443456162643,-22.0,40
2024-10-01,feature_38,104,93,0.03245942571785268414,20.0,1
2024-10-01,feature_12,95,83,0.02965043695380774032,1.0,2
2024-10-01,feature_20,91,85,0.02840199750312109863,10.0,3
2024-10-01,feature_14,89,81,0.02777777777777777778,8.0,4
2024-10-01,feature_4,88,83,0.02746566791510611735,0.0,5
2024-10-01,feature_25,87,78,0.02715355805243445693,-6.0,6
2024-10-01,feature_28,86,77,0.02684144818976279650,9.0,7
2024-10-01,feature_22,86,78,0.02684144818976279650,9.0,7
2024-10-01,feature_21,84,78,0.02621722846441947566,12.0,9
2024-10-01,feature_2,84,76,0.02621722846441947566,-2.0,9
2024-10-01,feature_11,84,79,0.02621722846441947566,4.0,9
2024-10-01,feature_15,83,77,0.02590511860174781523,10.0,12
2024-10-01,feature_19,83,75,0.02590511860174781523,17.0,12
2024-10-01,feature_10,83,71,0.02590511860174781523,9.0,12
2024-10-01,feature_16,82,77,0.02559300873907615481,8.0,15
2024-10-01,feature_6,82,74,0.02559300873907615481,-12.0,15
2024-10-01,feature_7,82,72,0.02559300873907615481,0.0,15
2024-10-01,feature_34,82,75,0.02559300873907615481,-9.0,15
2024-10-01,feature_26,80,75,0.02496878901373283396,-2.0,19
2024-10-01,feature_9,80,72,0.02496878901373283396,21.0,19
2024-10-01,feature_35,79,71,0.02465667915106117353,4.0,21
2024-10-01,feature_29,79,72,0.02465667915106117353,5.0,21
2024-10-01,feature_13,78,73,0.02434456928838951311,3.0,23
2024-10-01,feature_1,78,72,0.02434456928838951311,10.0,23
2024-10-01,feature_17,78,74,0.02434456928838951311,6.0,23
2024-10-01,feature_40,78,75,0.02434456928838951311,-7.0,23
2024-10-01,feature_39,77,72,0.02403245942571785268,-9.0,27
2024-10-01,feature_23,77,70,0.02403245942571785268,-8.0,27
2024-10-01,feature_36,77,72,0.02403245942571785268,-11.0,27
2024-10-01,feature_33,76,68,0.02372034956304619226,-6.0,30
2024-10-01,feature_5,74,68,0.02309612983770287141,17.0,31
2024-10-01,feature_31,73,72,0.02278401997503121099,-10.0,32
2024-10-01,feature_32,73,62,0.02278401997503121099,-24.0,32
2024-10-01,feature_18,72,70,0.02247191011235955056,1.0,34
2024-10-01,feature_30,72,66,0.02247191011235955056,-4.0,34
2024-10-01,feature_27,71,67,0.02215980024968789014,-16.0,36
2024-10-01,feature_3,70,66,0.02184769038701622971,5.0,37
2024-10-01,feature_8,70,67,0.02184769038701622971,6.0,37
2024-10-01,feature_24,69,64,0.02153558052434456929,-12.0,39
2024-10-01,feature_37,68,66,0.02122347066167290886,-1.0,40
