feature_name,adopting_accounts,adoption_rate,usage_events,events_per_adopting_account,usage_count_per_adopting_account,avg_minutes_per_event,errors_per_100_uses,beta_event_share,adoption_rank,adoption_quadrant
feature_28,347,0.69400000000000000000,623,1.7953890489913545,17.9048991354466859,50.9806581059390048,5.8103975535168196,0.08667736757624398074,17,Broad but light
feature_9,347,0.69400000000000000000,624,1.7982708933717579,17.8876080691642651,50.1188835470085465,6.5087804092154020,0.11217948717948717949,17,Broad but light
feature_4,346,0.69200000000000000000,625,1.8063583815028902,18.4219653179190751,52.4965866666666672,6.5578914339504236,0.12320000000000000000,20,Core (broad & intensive)
feature_25,342,0.68400000000000000000,615,1.7982456140350877,17.8099415204678363,50.0278861788617886,5.6476769003447710,0.08455284552845528455,21,Low traction
feature_33,342,0.68400000000000000000,635,1.8567251461988304,18.3450292397660819,51.5296062992125984,5.3554351291042397,0.09921259842519685039,21,Underutilized (narrow but intensive)
feature_6,342,0.68400000000000000000,655,1.9152046783625731,19.1403508771929825,51.2461068702290076,5.1787351054078827,0.10839694656488549618,21,Underutilized (narrow but intensive)
feature_30,341,0.68200000000000000000,629,1.8445747800586510,18.5014662756598240,50.1713566507684149,5.7378348391187193,0.09856915739268680445,24,Underutilized (narrow but intensive)
feature_1,340,0.68000000000000000000,629,1.8500000000000000,18.7176470588235294,48.6707737148913625,5.2796983029541169,0.11287758346581875994,25,Underutilized (narrow but intensive)
feature_5,340,0.68000000000000000000,577,1.6970588235294118,16.9382352941176471,51.3652224147891386,5.4870637263413787,0.09185441941074523397,25,Low traction
feature_31,339,0.67800000000000000000,644,1.8997050147492625,18.9528023598820059,47.4760093167701863,5.2140077821011673,0.09627329192546583851,27,Underutilized (narrow but intensive)
feature_27,338,0.67600000000000000000,611,1.8076923076923077,18.4349112426035503,53.3788325150027283,5.8096613705665222,0.10147299509001636661,28,Underutilized (narrow but intensive)
feature_29,338,0.67600000000000000000,640,1.8934911242603550,18.8224852071005917,49.9807031250000000,5.8314995284501729,0.10000000000000000000,28,Underutilized (narrow but intensive)
feature_35,338,0.67600000000000000000,587,1.7366863905325444,17.2071005917159763,49.2161839863713799,5.3817056396148556,0.11413969335604770017,28,Low traction
feature_10,337,0.67400000000000000000,634,1.8813056379821958,18.9436201780415430,49.2487644584647744,5.4511278195488722,0.08201892744479495268,31,Underutilized (narrow but intensive)
feature_16,337,0.67400000000000000000,622,1.8456973293768546,18.6142433234421365,52.3180332261521977,6.3127690100430416,0.07073954983922829582,31,Underutilized (narrow but intensive)
feature_40,337,0.67400000000000000000,621,1.8427299703264095,18.4629080118694362,51.8304884594739662,6.1073609771777563,0.12721417069243156200,31,Underutilized (narrow but intensive)
feature_3,336,0.67200000000000000000,598,1.7797619047619048,17.6101190476190476,49.7855908584169448,5.8306574277505493,0.11036789297658862876,34,Low traction
feature_8,336,0.67200000000000000000,596,1.7738095238095238,17.9464285714285714,52.5083892617449664,4.7097844112769486,0.10570469798657718121,34,Low traction
feature_19,335,0.67000000000000000000,589,1.7582089552238806,17.6119402985074627,50.4637804187889083,5.9661016949152542,0.09677419354838709677,36,Low traction
feature_20,334,0.66800000000000000000,643,1.9251497005988024,19.5838323353293413,50.4715655780196998,4.7087601284207308,0.09642301710730948678,37,Underutilized (narrow but intensive)
feature_22,334,0.66800000000000000000,636,1.9041916167664671,19.0598802395209581,49.5533542976939198,5.3879987433239083,0.11163522012578616352,37,Underutilized (narrow but intensive)
feature_23,329,0.65800000000000000000,563,1.7112462006079027,17.0243161094224924,49.6700118413262291,5.4633101231922871,0.09769094138543516874,39,Low traction
feature_18,327,0.65400000000000000000,588,1.7981651376146789,17.8899082568807339,49.9131519274376412,6.3076923076923077,0.10374149659863945578,40,Low traction
