dimension,segment,window_days,eligible,retained,retention_rate
plan_tier,Pro,60,165,118,0.71515151515151515152
plan_tier,Pro,90,153,103,0.67320261437908496732
plan_tier,Pro,180,131,72,0.54961832061068702290
plan_tier,Pro,365,85,35,0.41176470588235294118
referral_source,ads,30,96,87,0.90625000000000000000
referral_source,ads,60,92,75,0.81521739130434782609
referral_source,ads,90,89,64,0.71910112359550561798
referral_source,ads,180,79,47,0.59493670886075949367
referral_source,ads,365,48,26,0.54166666666666666667
referral_source,event,30,93,76,0.81720430107526881720
referral_source,event,60,87,66,0.75862068965517241379
referral_source,event,90,79,57,0.72151898734177215190
referral_source,event,180,66,37,0.56060606060606060606
referral_source,event,365,44,16,0.36363636363636363636
referral_source,organic,30,110,91,0.82727272727272727273
referral_source,organic,60,97,70,0.72164948453608247423
referral_source,organic,90,91,58,0.63736263736263736264
referral_source,organic,180,72,41,0.56944444444444444444
referral_source,organic,365,43,18,0.41860465116279069767
referral_source,other,30,99,82,0.82828282828282828283
referral_source,other,60,94,68,0.72340425531914893617
referral_source,other,90,87,59,0.67816091954022988506
referral_source,other,180,72,39,0.54166666666666666667
referral_source,other,365,47,16,0.34042553191489361702
referral_source,partner,30,85,68,0.80000000000000000000
referral_source,partner,60,82,58,0.70731707317073170732
referral_source,partner,90,76,51,0.67105263157894736842
referral_source,partner,180,62,33,0.53225806451612903226
referral_source,partner,365,46,19,0.41304347826086956522
signup_quarter,2023Q1,30,55,50,0.90909090909090909091
signup_quarter,2023Q1,60,55,49,0.89090909090909090909
signup_quarter,2023Q1,90,55,45,0.81818181818181818182
signup_quarter,2023Q1,180,55,35,0.63636363636363636364
signup_quarter,2023Q1,365,55,20,0.36363636363636363636
signup_quarter,2023Q2,30,54,53,0.98148148148148148148
signup_quarter,2023Q2,60,54,51,0.94444444444444444444
signup_quarter,2023Q2,90,54,47,0.87037037037037037037
signup_quarter,2023Q2,180,54,45,0.83333333333333333333
signup_quarter,2023Q2,365,54,38,0.70370370370370370370
signup_quarter,2023Q3,30,53,49,0.92452830188679245283
signup_quarter,2023Q3,60,53,47,0.88679245283018867925
signup_quarter,2023Q3,90,53,45,0.84905660377358490566
signup_quarter,2023Q3,180,53,35,0.66037735849056603774
signup_quarter,2023Q3,365,53,21,0.39622641509433962264
signup_quarter,2023Q4,30,65,58,0.89230769230769230769
signup_quarter,2023Q4,60,65,52,0.80000000000000000000
signup_quarter,2023Q4,90,65,48,0.73846153846153846154
signup_quarter,2023Q4,180,65,36,0.55384615384615384615
signup_quarter,2023Q4,365,65,15,0.23076923076923076923
signup_quarter,2024Q1,30,56,48,0.85714285714285714286
signup_quarter,2024Q1,60,56,43,0.76785714285714285714
signup_quarter,2024Q1,90,56,39,0.69642857142857142857
signup_quarter,2024Q1,180,56,24,0.42857142857142857143
signup_quarter,2024Q1,365,1,1,1.00000000000000000000
signup_quarter,2024Q2,30,65,53,0.81538461538461538462
signup_quarter,2024Q2,60,65,41,0.63076923076923076923
signup_quarter,2024Q2,90,65,35,0.53846153846153846154
signup_quarter,2024Q2,180,65,22,0.33846153846153846154
signup_quarter,2024Q3,30,72,51,0.70833333333333333333
signup_quarter,2024Q3,60,72,41,0.56944444444444444444
signup_quarter,2024Q3,90,72,30,0.41666666666666666667
signup_quarter,2024Q3,180,3,0,0E-20
signup_quarter,2024Q4,30,63,42,0.66666666666666666667
signup_quarter,2024Q4,60,32,13,0.40625000000000000000
signup_quarter,2024Q4,90,2,0,0E-20
