dimension,segment,window_days,eligible,retained,retention_rate
referral_source,other,60,698,675,0.96704871060171919771
referral_source,other,90,593,566,0.95446880269814502530
referral_source,partner,1,873,871,0.99770904925544100802
referral_source,partner,7,844,836,0.99052132701421800948
referral_source,partner,14,805,793,0.98509316770186335404
referral_source,partner,30,734,716,0.97547683923705722071
referral_source,partner,60,636,616,0.96855345911949685535
referral_source,partner,90,549,529,0.96357012750455373406
start_quarter,2023Q1,1,31,31,1.00000000000000000000
start_quarter,2023Q1,7,31,31,1.00000000000000000000
start_quarter,2023Q1,14,31,31,1.00000000000000000000
start_quarter,2023Q1,30,31,31,1.00000000000000000000
start_quarter,2023Q1,60,31,31,1.00000000000000000000
start_quarter,2023Q1,90,31,31,1.00000000000000000000
start_quarter,2023Q2,1,106,106,1.00000000000000000000
start_quarter,2023Q2,7,106,105,0.99056603773584905660
start_quarter,2023Q2,14,106,105,0.99056603773584905660
start_quarter,2023Q2,30,106,105,0.99056603773584905660
start_quarter,2023Q2,60,106,105,0.99056603773584905660
start_quarter,2023Q2,90,106,105,0.99056603773584905660
start_quarter,2023Q3,1,203,203,1.00000000000000000000
start_quarter,2023Q3,7,203,202,0.99507389162561576355
start_quarter,2023Q3,14,203,202,0.99507389162561576355
start_quarter,2023Q3,30,203,201,0.99014778325123152709
start_quarter,2023Q3,60,203,200,0.98522167487684729064
start_quarter,2023Q3,90,203,196,0.96551724137931034483
start_quarter,2023Q4,1,326,326,1.00000000000000000000
start_quarter,2023Q4,7,326,326,1.00000000000000000000
start_quarter,2023Q4,14,326,326,1.00000000000000000000
start_quarter,2023Q4,30,326,324,0.99386503067484662577
start_quarter,2023Q4,60,326,323,0.99079754601226993865
start_quarter,2023Q4,90,326,319,0.97852760736196319018
start_quarter,2024Q1,1,472,472,1.00000000000000000000
start_quarter,2024Q1,7,472,471,0.99788135593220338983
start_quarter,2024Q1,14,472,471,0.99788135593220338983
start_quarter,2024Q1,30,472,468,0.99152542372881355932
start_quarter,2024Q1,60,472,463,0.98093220338983050847
start_quarter,2024Q1,90,472,457,0.96822033898305084746
start_quarter,2024Q2,1,686,686,1.00000000000000000000
start_quarter,2024Q2,7,686,685,0.99854227405247813411
start_quarter,2024Q2,14,686,684,0.99708454810495626822
start_quarter,2024Q2,30,686,682,0.99416909620991253644
start_quarter,2024Q2,60,686,675,0.98396501457725947522
start_quarter,2024Q2,90,686,666,0.97084548104956268222
start_quarter,2024Q3,1,1107,1107,1.00000000000000000000
start_quarter,2024Q3,7,1107,1103,0.99638663053297199639
start_quarter,2024Q3,14,1107,1096,0.99006323396567299006
start_quarter,2024Q3,30,1107,1082,0.97741644083107497742
start_quarter,2024Q3,60,1107,1054,0.95212285456187895212
start_quarter,2024Q3,90,1107,1035,0.93495934959349593496
start_quarter,2024Q4,1,2024,2016,0.99604743083003952569
start_quarter,2024Q4,7,1820,1774,0.97472527472527472527
start_quarter,2024Q4,14,1592,1523,0.95665829145728643216
start_quarter,2024Q4,30,1135,1069,0.94185022026431718062
start_quarter,2024Q4,60,519,483,0.93063583815028901734
start_quarter,2024Q4,90,23,22,0.95652173913043478261
