dimension,segment,funnel,stage_order,stage,accounts,conversion_from_signup,step_conversion,step_drop_off
signup_quarter,2023Q4,trial,4,4. Retained (not churned),34,0.52307692307692307692,0.70833333333333333333,0.29166666666666666667
signup_quarter,2024Q1,trial,1,1. Signed up,56,1.00000000000000000000,,
signup_quarter,2024Q1,trial,2,2. Started a trial,52,0.92857142857142857143,0.92857142857142857143,0.07142857142857142857
signup_quarter,2024Q1,trial,3,3. Converted to paid after trial,49,0.87500000000000000000,0.94230769230769230769,0.05769230769230769231
signup_quarter,2024Q1,trial,4,4. Retained (not churned),38,0.67857142857142857143,0.77551020408163265306,0.22448979591836734694
signup_quarter,2024Q2,trial,1,1. Signed up,65,1.00000000000000000000,,
signup_quarter,2024Q2,trial,2,2. Started a trial,51,0.78461538461538461538,0.78461538461538461538,0.21538461538461538462
signup_quarter,2024Q2,trial,3,3. Converted to paid after trial,48,0.73846153846153846154,0.94117647058823529412,0.05882352941176470588
signup_quarter,2024Q2,trial,4,4. Retained (not churned),37,0.56923076923076923077,0.77083333333333333333,0.22916666666666666667
signup_quarter,2024Q3,trial,1,1. Signed up,72,1.00000000000000000000,,
signup_quarter,2024Q3,trial,2,2. Started a trial,56,0.77777777777777777778,0.77777777777777777778,0.22222222222222222222
signup_quarter,2024Q3,trial,3,3. Converted to paid after trial,55,0.76388888888888888889,0.98214285714285714286,0.01785714285714285714
signup_quarter,2024Q3,trial,4,4. Retained (not churned),41,0.56944444444444444444,0.74545454545454545455,0.25454545454545454545
signup_quarter,2024Q4,trial,1,1. Signed up,80,1.00000000000000000000,,
signup_quarter,2024Q4,trial,2,2. Started a trial,60,0.75000000000000000000,0.75000000000000000000,0.25000000000000000000
signup_quarter,2024Q4,trial,3,3. Converted to paid after trial,55,0.68750000000000000000,0.91666666666666666667,0.08333333333333333333
signup_quarter,2024Q4,trial,4,4. Retained (not churned),47,0.58750000000000000000,0.85454545454545454545,0.14545454545454545455
industry,Cybersecurity,expansion,1,1. Signed up,100,1.00000000000000000000,,
industry,Cybersecurity,expansion,2,2. Paying,100,1.00000000000000000000,1.00000000000000000000,0E-20
industry,Cybersecurity,expansion,3,3. Upgraded,64,0.64000000000000000000,0.64000000000000000000,0.36000000000000000000
industry,Cybersecurity,expansion,4,4. Retained (not churned),52,0.52000000000000000000,0.81250000000000000000,0.18750000000000000000
industry,DevTools,expansion,1,1. Signed up,113,1.00000000000000000000,,
industry,DevTools,expansion,2,2. Paying,113,1.00000000000000000000,1.00000000000000000000,0E-20
industry,DevTools,expansion,3,3. Upgraded,69,0.61061946902654867257,0.61061946902654867257,0.38938053097345132743
industry,DevTools,expansion,4,4. Retained (not churned),48,0.42477876106194690265,0.69565217391304347826,0.30434782608695652174
industry,EdTech,expansion,1,1. Signed up,79,1.00000000000000000000,,
industry,EdTech,expansion,2,2. Paying,79,1.00000000000000000000,1.00000000000000000000,0E-20
industry,EdTech,expansion,3,3. Upgraded,45,0.56962025316455696203,0.56962025316455696203,0.43037974683544303797
industry,EdTech,expansion,4,4. Retained (not churned),39,0.49367088607594936709,0.86666666666666666667,0.13333333333333333333
industry,FinTech,expansion,1,1. Signed up,112,1.00000000000000000000,,
industry,FinTech,expansion,2,2. Paying,112,1.00000000000000000000,1.00000000000000000000,0E-20
industry,FinTech,expansion,3,3. Upgraded,64,0.57142857142857142857,0.57142857142857142857,0.42857142857142857143
industry,FinTech,expansion,4,4. Retained (not churned),54,0.48214285714285714286,0.84375000000000000000,0.15625000000000000000
industry,HealthTech,expansion,1,1. Signed up,96,1.00000000000000000000,,
industry,HealthTech,expansion,2,2. Paying,96,1.00000000000000000000,1.00000000000000000000,0E-20
industry,HealthTech,expansion,3,3. Upgraded,65,0.67708333333333333333,0.67708333333333333333,0.32291666666666666667
industry,HealthTech,expansion,4,4. Retained (not churned),50,0.52083333333333333333,0.76923076923076923077,0.23076923076923076923
plan_tier,Basic,expansion,1,1. Signed up,168,1.00000000000000000000,,
plan_tier,Basic,expansion,2,2. Paying,168,1.00000000000000000000,1.00000000000000000000,0E-20
plan_tier,Basic,expansion,3,3. Upgraded,111,0.66071428571428571429,0.66071428571428571429,0.33928571428571428571
plan_tier,Basic,expansion,4,4. Retained (not churned),90,0.53571428571428571429,0.81081081081081081081,0.18918918918918918919
plan_tier,Enterprise,expansion,1,1. Signed up,154,1.00000000000000000000,,
plan_tier,Enterprise,expansion,2,2. Paying,154,1.00000000000000000000,1.00000000000000000000,0E-20
plan_tier,Enterprise,expansion,3,3. Upgraded,98,0.63636363636363636364,0.63636363636363636364,0.36363636363636363636
plan_tier,Enterprise,expansion,4,4. Retained (not churned),75,0.48701298701298701299,0.76530612244897959184,0.23469387755102040816
plan_tier,Pro,expansion,1,1. Signed up,178,1.00000000000000000000,,
plan_tier,Pro,expansion,2,2. Paying,178,1.00000000000000000000,1.00000000000000000000,0E-20
plan_tier,Pro,expansion,3,3. Upgraded,98,0.55056179775280898876,0.55056179775280898876,0.44943820224719101124
plan_tier,Pro,expansion,4,4. Retained (not churned),78,0.43820224719101123596,0.79591836734693877551,0.20408163265306122449
referral_source,ads,expansion,1,1. Signed up,98,1.00000000000000000000,,
referral_source,ads,expansion,2,2. Paying,98,1.00000000000000000000,1.00000000000000000000,0E-20
referral_source,ads,expansion,3,3. Upgraded,64,0.65306122448979591837,0.65306122448979591837,0.34693877551020408163
referral_source,ads,expansion,4,4. Retained (not churned),51,0.52040816326530612245,0.79687500000000000000,0.20312500000000000000
referral_source,event,expansion,1,1. Signed up,96,1.00000000000000000000,,
referral_source,event,expansion,2,2. Paying,96,1.00000000000000000000,1.00000000000000000000,0E-20
referral_source,event,expansion,3,3. Upgraded,53,0.55208333333333333333,0.55208333333333333333,0.44791666666666666667
referral_source,event,expansion,4,4. Retained (not churned),35,0.36458333333333333333,0.66037735849056603774,0.33962264150943396226
referral_source,organic,expansion,1,1. Signed up,114,1.00000000000000000000,,
referral_source,organic,expansion,2,2. Paying,114,1.00000000000000000000,1.00000000000000000000,0E-20
referral_source,organic,expansion,3,3. Upgraded,73,0.64035087719298245614,0.64035087719298245614,0.35964912280701754386
referral_source,organic,expansion,4,4. Retained (not churned),63,0.55263157894736842105,0.86301369863013698630,0.13698630136986301370
referral_source,other,expansion,1,1. Signed up,103,1.00000000000000000000,,
referral_source,other,expansion,2,2. Paying,103,1.00000000000000000000,1.00000000000000000000,0E-20
referral_source,other,expansion,3,3. Upgraded,56,0.54368932038834951456,0.54368932038834951456,0.45631067961165048544
referral_source,other,expansion,4,4. Retained (not churned),40,0.38834951456310679612,0.71428571428571428571,0.28571428571428571429
referral_source,partner,expansion,1,1. Signed up,89,1.00000000000000000000,,
referral_source,partner,expansion,2,2. Paying,89,1.00000000000000000000,1.00000000000000000000,0E-20
referral_source,partner,expansion,3,3. Upgraded,61,0.68539325842696629213,0.68539325842696629213,0.31460674157303370787
referral_source,partner,expansion,4,4. Retained (not churned),54,0.60674157303370786517,0.88524590163934426230,0.11475409836065573770
signup_quarter,2023Q1,expansion,1,1. Signed up,55,1.00000000000000000000,,
signup_quarter,2023Q1,expansion,2,2. Paying,55,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2023Q1,expansion,3,3. Upgraded,37,0.67272727272727272727,0.67272727272727272727,0.32727272727272727273
signup_quarter,2023Q1,expansion,4,4. Retained (not churned),29,0.52727272727272727273,0.78378378378378378378,0.21621621621621621622
signup_quarter,2023Q2,expansion,1,1. Signed up,54,1.00000000000000000000,,
signup_quarter,2023Q2,expansion,2,2. Paying,54,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2023Q2,expansion,3,3. Upgraded,41,0.75925925925925925926,0.75925925925925925926,0.24074074074074074074
signup_quarter,2023Q2,expansion,4,4. Retained (not churned),31,0.57407407407407407407,0.75609756097560975610,0.24390243902439024390
signup_quarter,2023Q3,expansion,1,1. Signed up,53,1.00000000000000000000,,
signup_quarter,2023Q3,expansion,2,2. Paying,53,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2023Q3,expansion,3,3. Upgraded,35,0.66037735849056603774,0.66037735849056603774,0.33962264150943396226
signup_quarter,2023Q3,expansion,4,4. Retained (not churned),29,0.54716981132075471698,0.82857142857142857143,0.17142857142857142857
signup_quarter,2023Q4,expansion,1,1. Signed up,65,1.00000000000000000000,,
signup_quarter,2023Q4,expansion,2,2. Paying,65,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2023Q4,expansion,3,3. Upgraded,42,0.64615384615384615385,0.64615384615384615385,0.35384615384615384615
signup_quarter,2023Q4,expansion,4,4. Retained (not churned),32,0.49230769230769230769,0.76190476190476190476,0.23809523809523809524
signup_quarter,2024Q1,expansion,1,1. Signed up,56,1.00000000000000000000,,
signup_quarter,2024Q1,expansion,2,2. Paying,56,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2024Q1,expansion,3,3. Upgraded,34,0.60714285714285714286,0.60714285714285714286,0.39285714285714285714
signup_quarter,2024Q1,expansion,4,4. Retained (not churned),27,0.48214285714285714286,0.79411764705882352941,0.20588235294117647059
signup_quarter,2024Q2,expansion,1,1. Signed up,65,1.00000000000000000000,,
signup_quarter,2024Q2,expansion,2,2. Paying,65,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2024Q2,expansion,3,3. Upgraded,35,0.53846153846153846154,0.53846153846153846154,0.46153846153846153846
signup_quarter,2024Q2,expansion,4,4. Retained (not churned),29,0.44615384615384615385,0.82857142857142857143,0.17142857142857142857
signup_quarter,2024Q3,expansion,1,1. Signed up,72,1.00000000000000000000,,
signup_quarter,2024Q3,expansion,2,2. Paying,72,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2024Q3,expansion,3,3. Upgraded,46,0.63888888888888888889,0.63888888888888888889,0.36111111111111111111
signup_quarter,2024Q3,expansion,4,4. Retained (not churned),34,0.47222222222222222222,0.73913043478260869565,0.26086956521739130435
signup_quarter,2024Q4,expansion,1,1. Signed up,80,1.00000000000000000000,,
signup_quarter,2024Q4,expansion,2,2. Paying,80,1.00000000000000000000,1.00000000000000000000,0E-20
signup_quarter,2024Q4,expansion,3,3. Upgraded,37,0.46250000000000000000,0.46250000000000000000,0.53750000000000000000
signup_quarter,2024Q4,expansion,4,4. Retained (not churned),32,0.40000000000000000000,0.86486486486486486486,0.13513513513513513514
