engagement_segment,feature_name,adoption_rate
Engaged Accounts,feature_36,0.77777777777777777778
Engaged Accounts,feature_14,0.77777777777777777778
Engaged Accounts,feature_24,0.77777777777777777778
Engaged Accounts,feature_27,0.77777777777777777778
Engaged Accounts,feature_30,0.77777777777777777778
Engaged Accounts,feature_13,0.76470588235294117647
Engaged Accounts,feature_12,0.75816993464052287582
Engaged Accounts,feature_15,0.75816993464052287582
Engaged Accounts,feature_7,0.75816993464052287582
Engaged Accounts,feature_21,0.75816993464052287582
Engaged Accounts,feature_8,0.75163398692810457516
Engaged Accounts,feature_11,0.75163398692810457516
Engaged Accounts,feature_40,0.75163398692810457516
Engaged Accounts,feature_3,0.74509803921568627451
Engaged Accounts,feature_1,0.74509803921568627451
Engaged Accounts,feature_31,0.74509803921568627451
Engaged Accounts,feature_29,0.73856209150326797386
Engaged Accounts,feature_4,0.73202614379084967320
Engaged Accounts,feature_9,0.72549019607843137255
Engaged Accounts,feature_10,0.72549019607843137255
Engaged Accounts,feature_16,0.72549019607843137255
Engaged Accounts,feature_22,0.72549019607843137255
Engaged Accounts,feature_35,0.72549019607843137255
Engaged Accounts,feature_23,0.71895424836601307190
Engaged Accounts,feature_28,0.71895424836601307190
Engaged Accounts,feature_38,0.71241830065359477124
Engaged Accounts,feature_5,0.71241830065359477124
Engaged Accounts,feature_26,0.70588235294117647059
Engaged Accounts,feature_20,0.69934640522875816993
Engaged Accounts,feature_19,0.69934640522875816993
Engaged Accounts,feature_18,0.68627450980392156863
Low-Engagement Accounts,feature_12,0.60162601626016260163
Low-Engagement Accounts,feature_36,0.58536585365853658537
Low-Engagement Accounts,feature_39,0.55284552845528455285
Low-Engagement Accounts,feature_21,0.55284552845528455285
Low-Engagement Accounts,feature_28,0.55284552845528455285
Low-Engagement Accounts,feature_17,0.54471544715447154472
Low-Engagement Accounts,feature_13,0.54471544715447154472
Low-Engagement Accounts,feature_38,0.53658536585365853659
Low-Engagement Accounts,feature_5,0.53658536585365853659
Low-Engagement Accounts,feature_2,0.53658536585365853659
Low-Engagement Accounts,feature_33,0.52845528455284552846
Low-Engagement Accounts,feature_26,0.52032520325203252033
Low-Engagement Accounts,feature_14,0.52032520325203252033
Low-Engagement Accounts,feature_8,0.52032520325203252033
Low-Engagement Accounts,feature_24,0.51219512195121951220
Low-Engagement Accounts,feature_7,0.51219512195121951220
Low-Engagement Accounts,feature_19,0.50406504065040650407
Low-Engagement Accounts,feature_31,0.50406504065040650407
Low-Engagement Accounts,feature_18,0.49593495934959349593
Low-Engagement Accounts,feature_30,0.49593495934959349593
Low-Engagement Accounts,feature_1,0.48780487804878048780
Low-Engagement Accounts,feature_22,0.48780487804878048780
Low-Engagement Accounts,feature_25,0.48780487804878048780
Low-Engagement Accounts,feature_34,0.48780487804878048780
Low-Engagement Accounts,feature_16,0.47967479674796747967
Low-Engagement Accounts,feature_32,0.47967479674796747967
Low-Engagement Accounts,feature_4,0.47967479674796747967
Low-Engagement Accounts,feature_9,0.47967479674796747967
Low-Engagement Accounts,feature_35,0.47967479674796747967
Low-Engagement Accounts,feature_3,0.47154471544715447154
Low-Engagement Accounts,feature_20,0.47154471544715447154
Low-Engagement Accounts,feature_40,0.47154471544715447154
Low-Engagement Accounts,feature_15,0.47154471544715447154
Low-Engagement Accounts,feature_11,0.47154471544715447154
Low-Engagement Accounts,feature_10,0.47154471544715447154
Low-Engagement Accounts,feature_37,0.46341463414634146341
Low-Engagement Accounts,feature_29,0.45528455284552845528
Low-Engagement Accounts,feature_27,0.44715447154471544715
Low-Engagement Accounts,feature_6,0.41463414634146341463
Low-Engagement Accounts,feature_23,0.38211382113821138211
Power Accounts,feature_26,0.90721649484536082474
Power Accounts,feature_32,0.89690721649484536082
Power Accounts,feature_23,0.89690721649484536082
Power Accounts,feature_14,0.89690721649484536082
Power Accounts,feature_37,0.89690721649484536082
Power Accounts,feature_34,0.89690721649484536082
Power Accounts,feature_9,0.88659793814432989691
Power Accounts,feature_21,0.88659793814432989691
Power Accounts,feature_7,0.88659793814432989691
Power Accounts,feature_12,0.87628865979381443299
Power Accounts,feature_35,0.87628865979381443299
Power Accounts,feature_2,0.87628865979381443299
Power Accounts,feature_31,0.87628865979381443299
Power Accounts,feature_4,0.87628865979381443299
Power Accounts,feature_22,0.87628865979381443299
Power Accounts,feature_1,0.86597938144329896907
Power Accounts,feature_15,0.86597938144329896907
Power Accounts,feature_17,0.86597938144329896907
Power Accounts,feature_18,0.86597938144329896907
Power Accounts,feature_29,0.86597938144329896907
Power Accounts,feature_28,0.85567010309278350515
Power Accounts,feature_10,0.85567010309278350515
Power Accounts,feature_16,0.85567010309278350515
Power Accounts,feature_38,0.85567010309278350515
Power Accounts,feature_25,0.84536082474226804124
Power Accounts,feature_20,0.84536082474226804124
Power Accounts,feature_13,0.84536082474226804124
Power Accounts,feature_40,0.84536082474226804124
Power Accounts,feature_11,0.84536082474226804124
Power Accounts,feature_30,0.84536082474226804124
Power Accounts,feature_6,0.83505154639175257732
Power Accounts,feature_36,0.83505154639175257732
Power Accounts,feature_3,0.83505154639175257732
Power Accounts,feature_24,0.82474226804123711340
Power Accounts,feature_33,0.82474226804123711340
Power Accounts,feature_27,0.80412371134020618557
Power Accounts,feature_39,0.80412371134020618557
Power Accounts,feature_5,0.79381443298969072165
Power Accounts,feature_19,0.78350515463917525773
Power Accounts,feature_8,0.75257731958762886598
