cohort,cohort_size,months_since_start,retention_rate
2023-11-01,121,6,0.96694214876033057851
2023-11-01,121,7,0.96694214876033057851
2023-11-01,121,8,0.93388429752066115702
2023-11-01,121,9,0.92561983471074380165
2023-11-01,121,10,0.91735537190082644628
2023-11-01,121,11,0.90082644628099173554
2023-11-01,121,12,0.88429752066115702479
2023-12-01,121,0,1.00000000000000000000
2023-12-01,121,1,0.99173553719008264463
2023-12-01,121,2,0.99173553719008264463
2023-12-01,121,3,0.98347107438016528926
2023-12-01,121,4,0.95867768595041322314
2023-12-01,121,5,0.95867768595041322314
2023-12-01,121,6,0.95041322314049586777
2023-12-01,121,7,0.95041322314049586777
2023-12-01,121,8,0.94214876033057851240
2023-12-01,121,9,0.94214876033057851240
2023-12-01,121,10,0.93388429752066115702
2023-12-01,121,11,0.91735537190082644628
2023-12-01,121,12,0.91735537190082644628
2024-01-01,134,0,1.00000000000000000000
2024-01-01,134,1,0.97761194029850746269
2024-01-01,134,2,0.97014925373134328358
2024-01-01,134,3,0.95522388059701492537
2024-01-01,134,4,0.94029850746268656716
2024-01-01,134,5,0.92537313432835820896
2024-01-01,134,6,0.91791044776119402985
2024-01-01,134,7,0.91791044776119402985
2024-01-01,134,8,0.91791044776119402985
2024-01-01,134,9,0.91791044776119402985
2024-01-01,134,10,0.90298507462686567164
2024-01-01,134,11,0.90298507462686567164
2024-02-01,152,0,1.00000000000000000000
2024-02-01,152,1,0.99342105263157894737
2024-02-01,152,2,0.98026315789473684211
2024-02-01,152,3,0.96052631578947368421
2024-02-01,152,4,0.94078947368421052632
2024-02-01,152,5,0.92763157894736842105
2024-02-01,152,6,0.91447368421052631579
2024-02-01,152,7,0.90789473684210526316
2024-02-01,152,8,0.90131578947368421053
2024-02-01,152,9,0.87500000000000000000
2024-02-01,152,10,0.87500000000000000000
2024-03-01,186,0,1.00000000000000000000
2024-03-01,186,1,1.00000000000000000000
2024-03-01,186,2,0.98924731182795698925
2024-03-01,186,3,0.98387096774193548387
2024-03-01,186,4,0.98387096774193548387
2024-03-01,186,5,0.98387096774193548387
2024-03-01,186,6,0.97849462365591397849
2024-03-01,186,7,0.96774193548387096774
2024-03-01,186,8,0.95161290322580645161
2024-03-01,186,9,0.94623655913978494624
2024-04-01,193,0,1.00000000000000000000
2024-04-01,193,1,0.99481865284974093264
2024-04-01,193,2,0.98445595854922279793
2024-04-01,193,3,0.97927461139896373057
2024-04-01,193,4,0.95336787564766839378
2024-04-01,193,5,0.93782383419689119171
2024-04-01,193,6,0.92227979274611398964
2024-04-01,193,7,0.91191709844559585492
2024-04-01,193,8,0.90155440414507772021
2024-05-01,245,0,1.00000000000000000000
2024-05-01,245,1,1.00000000000000000000
2024-05-01,245,2,0.99591836734693877551
2024-05-01,245,3,0.97142857142857142857
2024-05-01,245,4,0.96326530612244897959
2024-05-01,245,5,0.94285714285714285714
2024-05-01,245,6,0.93469387755102040816
2024-05-01,245,7,0.91836734693877551020
2024-06-01,248,0,1.00000000000000000000
2024-06-01,248,1,0.98790322580645161290
2024-06-01,248,2,0.97177419354838709677
2024-06-01,248,3,0.96370967741935483871
2024-06-01,248,4,0.95564516129032258065
2024-06-01,248,5,0.94354838709677419355
2024-06-01,248,6,0.93145161290322580645
2024-07-01,330,0,1.00000000000000000000
2024-07-01,330,1,0.99393939393939393939
2024-07-01,330,2,0.97878787878787878788
2024-07-01,330,3,0.96666666666666666667
2024-07-01,330,4,0.95151515151515151515
2024-07-01,330,5,0.94242424242424242424
2024-08-01,337,0,1.00000000000000000000
2024-08-01,337,1,0.97329376854599406528
2024-08-01,337,2,0.94955489614243323442
2024-08-01,337,3,0.93175074183976261128
2024-08-01,337,4,0.92581602373887240356
2024-09-01,440,0,1.00000000000000000000
2024-09-01,440,1,0.96590909090909090909
2024-09-01,440,2,0.92727272727272727273
2024-09-01,440,3,0.91363636363636363636
2024-10-01,504,0,1.00000000000000000000
2024-10-01,504,1,0.96428571428571428571
2024-10-01,504,2,0.93055555555555555556
2024-11-01,612,0,1.00000000000000000000
2024-11-01,612,1,0.92320261437908496732
2024-12-01,953,0,1.00000000000000000000
